Code;Territoire;Commune;#5 ans en primaire garçon;#5 ans en primaire filles;#6 ans en maternelles garçon;#6 ans en maternelles filles;#11 ans en secondaires garçon;#11 ans en secondaires filles;#12 ans en primaires garçon;#12 ans en primaires filles;#13 ans en primaires garçon;#13 ans en primaires filles;#17 ans a l'unif garçon;#17 ans a l'unif filles;#18 ans en secondaires garçon;#18 ans en secondaires filles;#19 ans en secondaires garçon;#19 ans en secondaires filles
21002A511;INVALIDES (BOULEVARD DES);Auderghem;0,129787322;0,21766721;1,064256037;0,755433257;0,207659715;0,243275117;1,064256037;0,755433257;0,090851125;0,089627675;0,207659715;0,243275117;3,3095767;2,035828607;1,920852359;1,357219071
21002A23-;TH. BALIS (PLACE);Auderghem;0,069932947;0,114243462;0,573450162;0,396492016;0,111892715;0,12768387;0,573450162;0,396492016;0,048953063;0,047041426;0,111892715;0,12768387;1,783290139;1,068512383;1,03500761;0,712341589
21002A22-;CANARIS (AVENUE DES);Auderghem;0,044016619;0,071601056;0,360936279;0,248497782;0,070426591;0,080024709;0,360936279;0,248497782;0,030811634;0,029482788;0,070426591;0,080024709;1,122423794;0,669680463;0,651445967;0,446453642
21002A24-;AVENUE DE BROUCKERE;Auderghem;0,064687976;0,115675483;0,5304414;0,401461972;0,103500761;0,129284364;0,5304414;0,401461972;0,045281583;0,047631081;0,103500761;0,129284364;1,649543379;1,081905992;0,95738204;0,721270661
21002A25-;WATERMAEL (CHAUSSEE DE);Auderghem;0,070241474;0,118221299;0,57598009;0,410297449;0,112386359;0,132129687;0,57598009;0,410297449;0,049169032;0,048679358;0,112386359;0,132129687;1,791157596;1,105716853;1,03957382;0,737144569
21002A45-;VAL DUC;Auderghem;0,040005759;0,065077404;0,328047225;0,225856873;0,064009215;0,072733569;0,328047225;0,225856873;0,028004031;0,026796578;0,064009215;0,072733569;1,020146859;0,608665132;0,592085236;0,405776754
21002A441;CHANT D'OISEAUX;Auderghem;0,062322597;0,098332117;0,511045292;0,341270287;0,099716155;0,109900601;0,511045292;0,341270287;0,043625818;0,040489695;0,099716155;0,109900601;1,589226213;0,919694502;0,922374429;0,613129668
21002A482;VAL DUCHESSE;Auderghem;0,00041137;0,000318227;0,003373236;0,001104435;0,000658192;0,000355665;0,003373236;0,001104435;0,000287959;0,000131035;0,000658192;0,000355665;0,010489942;0,002976358;0,00608828;0,001984238
21002A190;FORET DE SOIGNES;Auderghem;0,002571064;0,003023156;0,021082727;0,010492129;0,004113703;0,003378821;0,021082727;0,010492129;0,001799745;0,001244829;0,004113703;0,003378821;0,065562137;0,028275397;0,03805175;0,018850265
21002A130;PARC DES PRINCES;Auderghem;0,065407874;0,106606016;0,536344564;0,369985586;0,104652598;0,119147901;0,536344564;0,369985586;0,045785512;0,043896595;0,104652598;0,119147901;1,667900777;0,9970798;0,96803653;0,664719867
21002A572;DEPOT METRO;Auderghem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21002A311;AMITIE (PLACE DE L');Auderghem;0,049981488;0,085443927;0,409848204;0,296540686;0,079970381;0,095496153;0,409848204;0,296540686;0,034987042;0,035182793;0,079970381;0,095496153;1,274527953;0,799152019;0,739726027;0,532768013
21002A372;QUARTIER INDUSTRIE;Auderghem;0,031469826;0,05107542;0,258052573;0,177261751;0,050351722;0,057084293;0,258052573;0,177261751;0,022028878;0,021031055;0,050351722;0,057084293;0,802480563;0,477705397;0,465753425;0,318470265
21002A492;WOLUWE PARC;Auderghem;0,000308528;0,000795567;0,002529927;0,002761086;0,000493644;0,000889163;0,002529927;0,002761086;0,000215969;0,000327587;0,000493644;0,000889163;0,007867456;0,007440894;0,00456621;0,004960596
21002A30-;TRIOMPHE (BOULEVARD DU);Auderghem;0,064893661;0,099445911;0,532128018;0,345135808;0,103829857;0,11114543;0,532128018;0,345135808;0,045425563;0,040948316;0,103829857;0,11114543;1,65478835;0,930111754;0,96042618;0,620074503
21002A21-;LEBON;Auderghem;0,144699494;0,281153479;1,186535851;0,975767956;0,23151919;0,314230359;1,186535851;0,975767956;0,101289646;0,11576908;0,23151919;0,314230359;3,689837097;2,62961195;2,141552511;1,753074634
21002A411;PUTDAAL;Auderghem;0,030852771;0,053939462;0,252992719;0,187201662;0,049364433;0,060285281;0,252992719;0,187201662;0,021596939;0,022210367;0,049364433;0,060285281;0,78674565;0,504492615;0,456621005;0,33632841
21002A00-;CENTRE - NORD;Auderghem;0,053478136;0,092444919;0,438520712;0,320838247;0,085565017;0,103320791;0,438520712;0,320838247;0,037434695;0,038065555;0,085565017;0,103320791;1,36369246;0,864631886;0,791476408;0,576421258
21002A39-;CHEMIN DE FER;Auderghem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21002A18-;ROUGE CLOITRE;Auderghem;0,000514213;0,000318227;0,004216545;0,001104435;0,000822741;0,000355665;0,004216545;0,001104435;0,000359949;0,000131035;0,000822741;0,000355665;0,013112427;0,002976358;0,00761035;0,001984238
