Code;Territoire;Part des moins de 3 ans dans la population totale (%);Nombre de places en milieu d'accueil par enfant de moins de trois ans ();Population totale (Nombre d'habitants);#0-2 ans;#places en crèche
21007A40-;PONT DE LUTTRE;5,09;0,32;2025,00;103;32,52631579
21007A41-;PONT DE LUTTRE-OUEST;4,61;0,00;521,00;24;0
21007A50-;BERANGER;5,01;0,00;3095,00;155;0
21007A51-;CHATAIGNE;5,10;0,83;980,00;50;41,4893617
21007A52-;VAN VOLXEM - PETITE I0USTRIE;6,21;0,00;1015,00;63;0
21007A53-;WIELEMANS CEUPPENS;4,79;0,51;2777,00;133;68,04651163
21007A541;LYCEE;4,94;0,00;628,00;31;0
21007A552;REINE MARIE-HENRIETTE;3,16;0,00;253,00;8;0
21007A60-;SAINT-ANTOINE;5,29;0,00;4463,00;236;0
21007A61-;MONTENEGRO (RUE);5,75;0,09;5270,00;303;25,82950818
21007A70-;ALTITUDE  CENT;4,38;0,52;3243,00;142;74,04285714
21007A71-;CHAUSSEE D'ALSEMBERG;6,13;0,00;1273,00;78;0
21007A72-;MOLIERE;4,62;0,35;4567,00;211;74,34196891
21007A73-;BERCKE0AEL (RUE);3,81;0,85;2204,00;84;71,4893617
21007A75-;TOURNOI (RUE DU);3,94;0,00;1016,00;40;0
21007A783;PARC DE FOREST;3,75;0,00;506,00;19;0
21007A79-;PARC DUDEN;0,00;0,00;9,00;0;0
21007A814;VILLAS - MONT KEMMEL;0,00;0,00;188,00;0;0
21008A00-;CENTRE;3,49;0,84;1117,00;39;32,65116279
21008A01-;VAN PAGE-SUD;3,91;0,00;640,00;25;0
21008A02-;SIPPELBERG;5,87;0,15;2999,00;176;26,69662922
21008A10-;PLATEAU;5,50;0,41;3202,00;176;71,62790698
21008A19-;BASILIQUE;0,00;0,00;2,00;0;0
21008A20-;CHARLES-QUINT;5,11;0,18;4170,00;213;38,36018957
21008A21-;MAIL;2,91;0,83;2506,00;73;60,4137931
21008A220;VILLAS DE GANSHOREN (OUEST);2,80;0,36;3005,00;84;30,00357304
21008A23-;DE MESMAEKER;5,74;0,00;296,00;17;0
21008A240;REFORME;3,88;0,57;1493,00;58;32,83018868
21008A27-;NESTOR MARTIN;0,00;0,00;0,00;0;0
21008A29-;RIVIERE MOLENBEEK;0,00;0,00;0,00;0;0
21008A30-;LE HOME;3,06;1,19;1276,00;39;46,3125
21008A31-;TOUSSAINT;3,81;0,00;473,00;18;0
21008A32-;HEIDEKEN;5,23;0,05;1586,00;83;3,952380951
21008A33-;VAN PAGE-NORD;4,53;0,51;1171,00;53;26,94915254
21008A34-;PARC ALBERT;5,68;0,00;563,00;32;0
21008A35-;CHARTE;2,68;7,50;336,00;9;67,5
21008A38-;PARC DE RIVIEREN;0,00;0,00;1,00;0;0
21009A00-;CENTRE;3,78;1,36;2594,00;98;133,4468085
21009A01-;BLYCKAERTS;4,14;0,76;2128,00;88;66,88
21009A02-;MUSEE;3,24;0,00;3237,00;105;0
21009A03-;ERMITAGE;3,86;0,00;2046,00;79;0
21009A041;ARBRE BENIT;3,09;0,00;2391,00;74;0
21009A051;SAINT-BONIFACE;3,60;0,00;1333,00;48;0
21009A101;FLAGEY (PLACE);4,11;0,00;1776,00;73;0
21009A111;WERY (RUE);3,64;0,47;3295,00;120;56,12903226
21009A121;GENERAL DE GAULLE;3,75;0,00;1252,00;47;0
21009A13-;GACHARD;5,48;1,08;1459,00;80;86,15384615
21009A151;A. DELPORTE-NORD;3,13;0,00;990,00;31;0
21009A192;ETANGS;0,00;0,00;1,00;0;0
21009A20-;PETITE SUISSE (PLACE DE LA);2,19;1,21;3191,00;70;84,51219512
21009A21-;ETE;3,56;0,33;3626,00;129;42,60550459
21009A22-;UNIVERSITE;3,40;0,08;3855,00;131;10,15503875
21009A23-;ETOILE (RO0 POINT DE L');2,88;0,00;2295,00;66;0
21009A29-;CIMETIERE;0,00;0,00;1,00;0;0
