Code;Territoire;Commune;#hommes colloc dans commune;% de hommes de la commune dans secteur stat;#hommes colloc dans secteur stat
21008A220;VILLAS DE GANSHOREN (OUEST);Ganshoren;447;0,111699001;49,92945326
21008A02-;SIPPELBERG;Ganshoren;447;0,127991938;57,21239607
21008A34-;PARC ALBERT;Ganshoren;447;0,025195263;11,26228269
21008A35-;CHARTE;Ganshoren;447;0,014193332;6,344419249
21008A240;REFORME;Ganshoren;447;0,052238179;23,35046611
21008A23-;DE MESMAEKER;Ganshoren;447;0,011085916;4,955404384
21008A20-;CHARLES-QUINT;Ganshoren;447;0,170823885;76,35827664
21008A29-;RIVIERE MOLENBEEK;Ganshoren;447;0;0
21008A01-;VAN PAGE-SUD;Ganshoren;447;0,026035105;11,63769211
21008A33-;VAN PAGE-NORD;Ganshoren;447;0,047451079;21,2106324
21008A32-;HEIDEKEN;Ganshoren;447;0,061644411;27,55505165
21008A10-;PLATEAU;Ganshoren;447;0,135718485;60,66616276
21008A19-;BASILIQUE;Ganshoren;447;0;0
21008A21-;MAIL;Ganshoren;447;0,097841606;43,73519778
21009A20-;PETITE SUISSE (PLACE DE LA);Ixelles;2216;0,038038109;84,29244884
21009A23-;ETOILE (ROND POINT DE L');Ixelles;2216;0,025170548;55,7779346
21009A623;KLAUWAERTS;Ixelles;2216;0,003834392;8,497012468
21009A90-;SAINT-PHILIPPE DE NERI;Ixelles;2216;0,018301576;40,55629264
21009A652;HOPITAUX;Ixelles;2216;0,034109621;75,58692072
