Code;Territoire;Commune;#femmes colloc dans commune;% de femmes de la commune dans secteur stat;#femmes colloc dans secteur stat
21012A59-;KARREVELD;Molenbeek Saint-Jean;1037;0,000164123;0,170195306
21012A851;CONDOR;Molenbeek Saint-Jean;1037;0,015324963;15,89198671
21012A882;DARING;Molenbeek Saint-Jean;1037;0,00533399;5,531347448
21012A22-;BRASILIA;Molenbeek Saint-Jean;1037;0,002933694;3,042241096
21012A13-;BIRMINGHAM-NORD;Molenbeek Saint-Jean;1037;0,014668472;15,21120548
21012A12-;BIRMINGHAM-SUD;Molenbeek Saint-Jean;1037;0,013827343;14,33895454
21012A672;ULENS;Molenbeek Saint-Jean;1037;0,025233875;26,16752831
21012A60-;LAEKENVELD;Molenbeek Saint-Jean;1037;0,05020105;52,05848925
21012A63-;DUBRUCQ-NORD;Molenbeek Saint-Jean;1037;0,023059248;23,91244051
21012A62-;LIBERATEURS;Molenbeek Saint-Jean;1037;0,054591334;56,61121369
21012A511;STEYNS;Molenbeek Saint-Jean;1037;0,031080748;32,23073609
21012A20-;BAECK;Molenbeek Saint-Jean;1037;0,022156573;22,97636632
21012A72-;LAVALLEE;Molenbeek Saint-Jean;1037;0,027470048;28,48643936
21012A611;MEXICO;Molenbeek Saint-Jean;1037;0,016781553;17,40247005
21012A53-;SIPPELBERG;Molenbeek Saint-Jean;1037;0,003590185;3,723022321
21012A54-;DELHAIZE;Molenbeek Saint-Jean;1037;0,033829805;35,08150747
21012A50-;BENES;Molenbeek Saint-Jean;1037;0,036455769;37,80463237
21012A71-;PIERS;Molenbeek Saint-Jean;1037;0,037645659;39,03854833
21012A21-;MARIE-JOSE BLOCS;Molenbeek Saint-Jean;1037;0,021007714;21,78499918
21012A2MJ;CHEMIN DE FER;Molenbeek Saint-Jean;1037;0,000635976;0,659506811
21012A152;ETANGS NOIRS;Molenbeek Saint-Jean;1037;0,05729936;59,41943624
21012A52-;NEEP (QUARTIER DU);Molenbeek Saint-Jean;1037;0,041399967;42,93176596
21012A39-;DE RAEDT;Molenbeek Saint-Jean;1037;0,00118989;1,233915969
21012A30-;METTEWIE - IDYLLE;Molenbeek Saint-Jean;1037;0,024351715;25,25272854
21012A23-;MACHTENS-SUD;Molenbeek Saint-Jean;1037;0,039307402;40,76177581
21012A41-;MOORTEBEEK;Molenbeek Saint-Jean;1037;0,017089283;17,72158625
21012A822;KORENBEEK;Molenbeek Saint-Jean;1037;0,050693419;52,56907517
