Code;Name;Commune
21014A41-;BOSSUET;Saint-Josse-ten-Noode
21014A10-;SAINT-FRANCOIS;Saint-Josse-ten-Noode
21014A13-;ROGIER;Saint-Josse-ten-Noode
21014A03-;MADOU;Saint-Josse-ten-Noode
21014A12-;SAINT-LAZARE;Saint-Josse-ten-Noode
21014A01-;STEURS;Saint-Josse-ten-Noode
21014A04-;HAECHT (CHAUSSEE DE);Saint-Josse-ten-Noode
21014A05-;HOUWAERT;Saint-Josse-ten-Noode
21014A18-;JARDIN BOTANIQUE;Saint-Josse-ten-Noode
21014A3MJ;MANHATTAN;Saint-Josse-ten-Noode
21015A50-;OPALE;Schaerbeek
21015A77-;R.T.B.;Schaerbeek
21015A73-;H. EVENEPOEL (RUE);Schaerbeek
21015A782;CIMETIERE DE SAINT-JOSSE;Schaerbeek
21015A31-;PATRIE;Schaerbeek
21015A36-;CAMBIER (AVENUE E.);Schaerbeek
21015A70-;P. HYMANS (RUE);Schaerbeek
21015A721;F. COURTENS (AVENUE);Schaerbeek
21015A822;CH. GILISQUET - SUD (AVENUE);Schaerbeek
21015A7MJ;JOSAPHAT GARE;Schaerbeek
21015A34-;PAQUERETTES (RUE);Schaerbeek
21015A63-;DESCHANEL P. (AVENUE);Schaerbeek
21015A883;THEUNIS PIERRE (RUE);Schaerbeek
21015A811;TERDELT;Schaerbeek
21015A831;LATINIS (AVENUE G.);Schaerbeek
21015A03-;JOSAPHAT (RUE);Schaerbeek
21015A021;HOUFFALIZE (PLACE);Schaerbeek
21015A30-;GRANDE RUE AU BOIS;Schaerbeek
21015A32-;CONSOLATION (RUE DE LA);Schaerbeek
21015A64-;DUPLOYE SQUARE;Schaerbeek
21015A33-;BIENFAITEURS (PLACE DE);Schaerbeek
21015A35-;JEAN STOBBAERTS (AVENUE);Schaerbeek
21015A53-;DAILLY (PLACE);Schaerbeek
21015A54-;EMERAUDE (AVENUE);Schaerbeek
21015A52-;LINTHOUT (RUE);Schaerbeek
21015A51-;CERISIERS (AVENUE DES);Schaerbeek
21015A05-;ROYALE SAINTE-MARIE (RUE);Schaerbeek
21015A12-;HUART HAMOIR (AVENUE);Schaerbeek
21015A152;PR. ELISABETH-NORD;Schaerbeek
21015A101;GARE;Schaerbeek
21015A111;MAETERLINCK;Schaerbeek
21015A142;SAINTE-FAMILLE;Schaerbeek
21015A622;BRUSILIA;Schaerbeek
21015A71-;JARDINS;Schaerbeek
21015A04-;L'OLIVIER (RUE);Schaerbeek
21015A39-;JOSAPHAT (PARC);Schaerbeek
21015A421;PALAIS (RUE DE);Schaerbeek
21015A40-;BRABANT (RUE DE);Schaerbeek
21015A43-;GARE DU NORD;Schaerbeek
21015A44-;REINE (AVENUE);Schaerbeek
21015A41-;VANDERLINDEN (RUE);Schaerbeek
21015A612;BRICHAUT (RUE DE);Schaerbeek
21015A45-;STEPHENSON (PLACE);Schaerbeek
21015A00-;COLIGNON (PLACE);Schaerbeek
21015A01-;VAN YSENDYCK (RUE);Schaerbeek
21015A24-;WAELHEM (RUE);Schaerbeek
21015A13-;PORTAELS (RUE);Schaerbeek
21015A22-;MARBOTIN A. (RUE);Schaerbeek
