SECTOR;TX_SECTOR_WORK_DESCR_FR;Sum of OBS_VALUE;Nb Actualisé
21009A151;A. DELPORTE-NORD;295;308
21009A20-;PETITE SUISSE (PLACE DE LA);200;208
21009A21-;ETE;1012;1055
21009A22-;UNIVERSITE;94;98
21009A23-;ETOILE (ROND POINT DE L');81;84
21009A2MJ;CAMPUS UNIVERSITAIRE;2781;2899
21009A301;BOONDAEL-NORD;56;58
21009A311;TREILLE (RUE DE LA);3;3
21009A33-;SAINT-ADRIEN;62;65
21009A34-;STADE COMMUNAL;11;11
21009A40-;MELEZES;173;180
21009A41-;SAINT-GEORGES;284;296
21009A42-;RENIER CHALON;231;241
21009A43-;FERNAND NEURAY;105;109
21009A44-;PREVOT;671;700
21009A451;CHATELAIN (PLACE DU)-EST;305;318
21009A501;LUXEMBOURG (PLACE DE);148;154
21009A512;WIERTZ;7;7
21009A52-;GRAY (RUE);51;53
21009A53-;LONDRES (PLACE DE);1078;1124
21009A542;EGLISE ANGLICANE;2312;2410
21009A552;PORTE DE NAMUR;955;996
21009A593;QUARTIER LEOPOLD;6;6
21009A602;BELVEDERE;324;338
21009A612;LIEGEOIS (RUE);51;53
21009A623;KLAUWAERTS;7;7
21009A63-;MACAU;107;112
21009A652;HOPITAUX;823;858
21009A712;CHATELAIN (PLACE DU)-OUEST;87;91
21009A72-;DEFACQZ;279;291
21009A73-;BERCKENDAEL;183;191
21009A802;BOONDAEL-SUD;14;15
21009A812;SCHOOLGAT;110;115
21009A82-;FORET;95;99
21009A83-;L. ERNOTTE (RUE);1;1
21009A90-;SAINT-PHILIPPE DE NERI;277;289
21009A911;A. DELPORTE-SUD;722;753
21009A922;CASERNE;180;188
21009ZZZZ;COMMUNE DE IXELLES: NON LOCALISABLE DANS UN SECTEUR;2307;2405
21010A00-;CENTRE;602;628
21010A01-;ESSEGHEM;182;190
21010A02-;LEOPOLD I;194;202
21010A03-;MIROIR;642;669
21010A04-;NOTRE-DAME DE LOURDES;305;318
21010A05-;ALBERT (QUARTIER);218;227
21010A10-;ANCIENNE BARRIERE;167;174
21010A111;HEYMBOSCH;55;57
21010A121;F. MOHRFELD (RUE DE);7;7
21010A13-;CITE-JARDIN;93;97
21010A141;BRUGMANN;146;152
21010A182;DIELEGEM (BOIS DE);51;53
21010A1AJ;ARBRE BALLON;689;718
21010A21-;MADELEINE;179;187
21010A312;BAECK DUPRE;145;151
21010A393;SACRE-COEUR;75;78
21010A493;LAERBEEK (BOIS DE);365;381
21010A4MJ;VUB;3053;3183
21010ZZZZ;COMMUNE DE JETTE: NON LOCALISABLE DANS UN SECTEUR;109;114
21011A00-;VANHUFFEL;173;180
21011A01-;SAINTE-ANNE;141;147
21011A02-;JACQUET (RUE DE);65;68
21011A10-;PAIX (AVENUE DE LA);214;223
21011A11-;LEPREUX;95;99
21011A12-;BASILIQUE;140;146
21011A20-;PLATEAU;1504;1568
21011A30-;ARCHERS - FOUREZ;332;346
21011ZZZZ;COMMUNE DE KOEKELBERG: NON LOCALISABLE DANS UN SECTEUR;92;96
21012A00-;CENTRE;918;957
21012A011;CANAL-SUD;69;72
21012A02-;BRUNFAUT (QUARTIER);92;96
21012A03-;RANSFORT;78;81
21012A041;QUATRE VENTS;164;171
21012A05-;SAINT-JOSEPH;73;76
21012A10-;DUCHESSE DE BRABANT;67;70
21012A11-;INDUSTRIE;169;176
21012A12-;BIRMINGHAM-SUD;371;387
21012A13-;BIRMINGHAM-NORD;526;548
21012A141;INDEPENDANCE;45;47
21012A152;ETANGS NOIRS;311;324
21012A172;GARE OUEST;90;94
21012A20-;BAECK;56;58
21012A21-;MARIE-JOSE BLOCS;2;2
