CD;SECTOR;TX_SECTOR_RESIDENCE_DESCR_FR;Sum of OBS_VALUE;Corrected_val;ratio_idem_partout;;;;
BE100;21006A094;BON PASTEUR;27;37;1,362176683;;;;
BE100;21006A101;CONSCIENCE;262;357;1,362176683;;;;
BE100;21006A11-;OASIS - PROVENCE - LANGUEDOC;61;83;1,362176683;;;;
BE100;21006A12-;GERMINAL I;25;34;1,362176683;;;;
BE100;21006A13-;MAISON COMMUNALE;86;117;1,362176683;;;;
BE100;21006A142;ED. DEKNOOP (RUE);87;119;1,362176683;;;;
BE100;21006A153;KEET;80;109;1,362176683;;;;
BE100;21006A171;ANCIEN COMBATTANTS (AVENUE);5;7;1,362176683;;;;
BE100;21006A201;HAUT-EVERE;158;215;1,362176683;;;;
BE100;21006A21-;HOME FAMILIAL BRABANT;48;65;1,362176683;;;;
BE100;21006A22-;SAINT-EXUPERY;137;187;1,362176683;;;;
BE100;21006A23-;DU BONHEUR;185;252;1,362176683;;;;
BE100;21006A24-;IEDER ZIJN HUIS - ZAVENTEM;10;14;1,362176683;;;;
BE100;21006A25-;GIBET;35;48;1,362176683;;;;
BE100;21006A312;J. BORDET (AVENUE DE);27;37;1,362176683;;;;
BE100;21006A323;GERMINAL II;28;38;1,362176683;;;;
BE100;21006A37-;ZONE INDUSTRIELLE;8;11;1,362176683;;;;
BE100;21006A403;QUARTIER CICERO;117;159;1,362176683;;;;
BE100;21006A414;P. DUPONT (RUE);197;268;1,362176683;;;;
BE100;21006A474;COMMUNAUTES;26;35;1,362176683;;;;
BE100;21006A48-;CIMETIERE BRUXELLES;2;3;1,362176683;;;;
BE100;21006A515;CARLI;82;112;1,362176683;;;;
BE100;21006ZZZZ;COMMUNE DE EVERE: NON LOCALISABLE DANS UN SECTEUR;3;4;1,362176683;;;;
BE100;21007A00-;CENTRE SAINT-DENIS;177;241;1,362176683;;;;
BE100;21007A01-;CURE D'ARS;65;89;1,362176683;;;;
BE100;21007A02-;STUART MERRIL;27;37;1,362176683;;;;
BE100;21007A03-;FOYER FORESTOIS - FAMILLE;51;69;1,362176683;;;;
BE100;21007A04-;FOYER FORESTOIS - MADELON;32;44;1,362176683;;;;
BE100;21007A05-;NEERSTALLE;58;79;1,362176683;;;;
BE100;21007A06-;KATANGA;47;64;1,362176683;;;;
BE100;21007A071;BOLLINCKX;16;22;1,362176683;;;;
BE100;21007A082;BEMPT;2;3;1,362176683;;;;
BE100;21007A101;BOURGOGNE;160;218;1,362176683;;;;
BE100;21007A111;MESSIDOR I;21;29;1,362176683;;;;
BE100;21007A12-;HAVESKERCKE;17;23;1,362176683;;;;
