Code;Territoire;Population totale;Nombre de femmes;Nombre d'hommes
21006A312;J. BORDET (AVENUE DE);501;235;266
21006A101;CONSCIENCE;4493;2352;2141
21006A001;VIEIL EVERE;3058;1554;1504
21006A414;P. DUPONT (RUE);3201;1675;1526
21006A171;ANCIEN COMBATTANTS (AVENUE);618;299;319
21006A25-;GIBET;1075;622;453
21006A48-;CIMETIERE BRUXELLES;26;13;13
21006A22-;SAINT-EXUPERY;2106;1127;979
21006A011;CENTRE;2814;1441;1373
21006A142;ED. DEKNOOP (RUE);1274;657;617
21006A042;KERKHOEK;1245;648;597
21006A052;CHAMP DE REPOS;2505;1249;1256
21006A323;GERMINAL II;885;521;364
21007A03-;FOYER FORESTOIS - FAMILLE;1122;612;510
21007A252;MESSIDOR II;261;156;105
21007A201;ROOSENDAEL (RUE);2621;1477;1144
21007A21-;MAGNANERIE;527;308;219
21007A291;FOREST NATIONAL - STADE;7;3;4
21007A242;GLOBE;616;347;269
21007A75-;TOURNOI (RUE DU);1014;542;472
21007A814;VILLAS - MONT KEMMEL;178;87;91
21007A111;MESSIDOR I;589;318;271
21007A41-;PONT DE LUTTRE-OUEST;512;255;257
21007A142;MONTE CARLO;1461;761;700
21007A53-;WIELEMANS CEUPPENS;2765;1392;1373
21007A50-;BERANGER;3115;1540;1575
21007A51-;CHATAIGNE;966;480;486
21007A552;REINE MARIE-HENRIETTE;267;127;140
21007A541;LYCEE;623;310;313
21007A61-;MONTENEGRO (RUE);5253;2678;2575
21007A06-;KATANGA;711;353;358
21007A04-;FOYER FORESTOIS - MADELON;419;237;182
21007A00-;CENTRE SAINT-DENIS;3336;1596;1740
21007A101;BOURGOGNE;2823;1448;1375
21007A783;PARC DE FOREST;494;246;248
21007A373;CHARROI (RUE DE);18;11;7
21007A071;BOLLINCKX;1172;554;618
21007A70-;ALTITUDE  CENT;3238;1784;1454
21007A239;NEPTUNE (AVENUE) I;3091;1743;1348
21007A05-;NEERSTALLE;979;472;507
21007A082;BEMPT;55;34;21
21007A01-;CURE D'ARS;1262;631;631
21007A132;DENAYER (RUE);163;77;86
21007A52-;VAN VOLXEM - PETITE INDUSTRIE;1102;587;515
21007A40-;PONT DE LUTTRE;2031;971;1060
21007A02-;STUART MERRIL;598;300;298
21007A12-;HAVESKERCKE;253;129;124
21007A60-;SAINT-ANTOINE;4481;2184;2297
21007A73-;BERCKENDAEL (RUE);2214;1150;1064
21007A72-;MOLIERE;4545;2365;2180
21007A71-;CHAUSSEE D'ALSEMBERG;1363;716;647
21007A79-;PARC DUDEN;9;5;4
21008A31-;TOUSSAINT;463;244;219
21008A30-;LE HOME;1280;664;616
21008A00-;CENTRE;1112;566;546
21008A38-;PARC DE RIVIEREN;1;0;1
21008A27-;NESTOR MARTIN;0;0;0
21008A220;VILLAS DE GANSHOREN (OUEST);3016;1686;1330
21008A02-;SIPPELBERG;3007;1483;1524
21008A34-;PARC ALBERT;585;285;300
21008A35-;CHARTE;344;175;169
21008A240;REFORME;1472;850;622
21008A23-;DE MESMAEKER;314;182;132
21008A20-;CHARLES-QUINT;4169;2135;2034
21008A29-;RIVIERE MOLENBEEK;0;0;0
21008A01-;VAN PAGE-SUD;630;320;310
21008A33-;VAN PAGE-NORD;1174;609;565
21008A32-;HEIDEKEN;1596;862;734
21008A10-;PLATEAU;3235;1619;1616
21008A19-;BASILIQUE;2;2;0
21008A21-;MAIL;2459;1294;1165
21009A20-;PETITE SUISSE (PLACE DE LA);3172;1555;1617
21009A23-;ETOILE (ROND POINT DE L');2266;1196;1070
21009A623;KLAUWAERTS;323;160;163
21009A90-;SAINT-PHILIPPE DE NERI;1545;767;778
21009A652;HOPITAUX;2911;1461;1450
21009A501;LUXEMBOURG (PLACE DE);402;214;188
21009A552;PORTE DE NAMUR;1486;690;796
21009A542;EGLISE ANGLICANE;663;338;325
21009A051;SAINT-BONIFACE;1337;653;684
21009A041;ARBRE BENIT;2378;1222;1156
21009A00-;CENTRE;2612;1298;1314
21009A02-;MUSEE;3264;1560;1704
21009A101;FLAGEY (PLACE);1795;943;852
21009A03-;ERMITAGE;1984;1052;932
21009A13-;GACHARD;1449;744;705
21009A121;GENERAL DE GAULLE;1236;647;589
21009A63-;MACAU;2784;1486;1298
21009A602;BELVEDERE;372;174;198
21009A42-;RENIER CHALON;2741;1455;1286
21009A40-;MELEZES;1875;983;892
21009A301;BOONDAEL-NORD;989;535;454
21009A812;SCHOOLGAT;454;227;227
21009A33-;SAINT-ADRIEN;3960;2167;1793
21009A34-;STADE COMMUNAL;473;238;235
21009A21-;ETE;3652;1734;1918
21009A43-;FERNAND NEURAY;1868;990;878
21009A41-;SAINT-GEORGES;2279;1178;1101
21009A83-;L. ERNOTTE (RUE);1051;539;512
21009A52-;GRAY (RUE);3656;1825;1831
21009A2MJ;CAMPUS UNIVERSITAIRE;887;461;426
21009A44-;PREVOT;2007;968;1039
21009A712;CHATELAIN (PLACE DU)-OUEST;873;441;432
21009A72-;DEFACQZ;1795;929;866
21009A911;A. DELPORTE-SUD;1668;856;812
21009A311;TREILLE (RUE DE LA);330;173;157
21009A802;BOONDAEL-SUD;290;150;140
21009A82-;FORET;1206;690;516
21009A111;WERY (RUE);3242;1629;1613
21009A01-;BLYCKAERTS;2162;1074;1088
21009A22-;UNIVERSITE;3935;2093;1842
21009A53-;LONDRES (PLACE DE);3598;1749;1849
21009A512;WIERTZ;249;122;127
21009A593;QUARTIER LEOPOLD;0;0;0
21009A612;LIEGEOIS (RUE);3039;1579;1460
21009A151;A. DELPORTE-NORD;972;473;499
21009A922;CASERNE (Ixelles);338;172;166
21009A29-;CIMETIERE;1;0;1
21009A73-;BERCKENDAEL;2653;1391;1262
21009A451;CHATELAIN (PLACE DU)-EST;2448;1294;1154
21009A192;ETANGS;1;0;1
21010A393;SACRE-COEUR;90;43;47
21010A04-;NOTRE-DAME DE LOURDES;4534;2344;2190
21010A092;PARC DE LA JEUNESSE;0;0;0
21010A03-;MIROIR;3385;1702;1683
21010A182;DIELEGEM (BOIS DE);2;1;1
21010A10-;ANCIENNE BARRIERE;2166;1106;1060
21010A121;F. MOHRFELD (RUE DE);1305;688;617
21010A111;HEYMBOSCH;3000;1640;1360
21010A312;BAECK DUPRE;964;483;481
21010A4MJ;VUB;52;22;30
21010A1AJ;ARBRE BALLON;3018;1550;1468
21010A05-;ALBERT (QUARTIER);5758;2885;2873
21010A493;LAERBEEK (BOIS DE);20;11;9
21010A13-;CITE-JARDIN;4470;2354;2116
21010A00-;CENTRE;6224;3264;2960
21010A141;BRUGMANN;4292;2331;1961
21010A01-;ESSEGHEM;4981;2686;2295
21010A21-;MADELEINE;3814;1926;1888
21010A02-;LEOPOLD I;4415;2276;2139
21011A11-;LEPREUX;2189;1163;1026
21011A30-;ARCHERS - FOUREZ;2638;1221;1417
21011A20-;PLATEAU;3718;1876;1842
21011A10-;PAIX (AVENUE DE LA);2600;1356;1244
21011A01-;SAINTE-ANNE;4385;2242;2143
21011A02-;JACQUET (RUE DE);2127;1033;1094
21011A00-;VANHUFFEL;2282;1083;1199
21011A12-;BASILIQUE;2045;1075;970
21011A29-;PARC ELISABETH;0;0;0
21012A552;PFEIFFER;1370;718;652
21012A833;ELBERS;431;260;171
21012A84-;METTEWIE-BUILDINGS;2125;1138;987
21012A24-;OSSEGHEM;3647;1904;1743
