Code;Territoire;Commune;% pop ss /commune;Nb_lits_commune;Nb_lits_ss
21005A29-;CINQUANTENAIRE (PARC);Etterbeek;0;421;0
21005A12-;SAINT-ANTOINE;Etterbeek;0,138979056;421;58,51018256
21005A22-;PORTE DE TERVUEREN - L. DE LAN;Etterbeek;0,022680753;421;9,548597184
21005A21-;PORTE DE TERVUEREN - BRAFFORT;Etterbeek;0,01550644;421;6,528211384
21006A12-;GERMINAL I;Evere;0,018604985;1338;24,8934703
21006A11-;OASIS - PROVENCE - LANGUEDOC;Evere;0,021071283;1338;28,19337691
21006A153;KEET;Evere;0,030122357;1338;40,30371381
21006A13-;MAISON COMMUNALE;Evere;0,035102842;1338;46,9676029
21006A02-;IEDER ZIJN HUIS - STROOBANTS;Evere;0,01527668;1338;20,44019826
21006A073;GARE DE FORMATION;Evere;0;1338;0
21006A03-;BLOCS SAINT-VINCENT;Evere;0,018892321;1338;25,27792544
21006A094;BON PASTEUR;Evere;0,010559586;1338;14,12872638
21006A515;CARLI;Evere;0,025788377;1338;34,50484879
21006A24-;IEDER ZIJN HUIS - ZAVENTEM;Evere;0,013025884;1338;17,428633
21006A403;QUARTIER CICERO;Evere;0,046763882;1338;62,57007399
21006A474;COMMUNAUTES;Evere;0,025979934;1338;34,76115222
21006A201;HAUT-EVERE;Evere;0,062016618;1338;82,97823432
21006A272;QUARTIER GROSJEAN;Evere;0,002490243;1338;3,331944544
21006A21-;HOME FAMILIAL BRABANT;Evere;0,027560281;1338;36,87565548
21006A23-;DU BONHEUR;Evere;0,07085219;1338;94,80022987
21006A37-;ZONE INDUSTRIELLE;Evere;0,003687475;1338;4,93384096
21006A312;J. BORDET (AVENUE DE);Evere;0,011996265;1338;16,05100208
21006A101;CONSCIENCE;Evere;0,107583267;1338;143,9464119
21006A001;VIEIL EVERE;Evere;0,073222709;1338;97,97198477
21006A414;P. DUPONT (RUE);Evere;0,076646793;1338;102,5534085
21006A171;ANCIEN COMBATTANTS (AVENUE);Evere;0,014797788;1338;19,7994397
21006A25-;GIBET;Evere;0,025740488;1338;34,44077293
21006A48-;CIMETIERE BRUXELLES;Evere;0,000622561;1338;0,832986136
21006A22-;SAINT-EXUPERY;Evere;0,050427412;1338;67,47187702
21006A011;CENTRE;Evere;0,067380217;1338;90,15473026
21006A142;ED. DEKNOOP (RUE);Evere;0,030505471;1338;40,81632067
21006A042;KERKHOEK;Evere;0,029811077;1338;39,88722075
21006A052;CHAMP DE REPOS;Evere;0,059981323;1338;80,25501042
21006A323;GERMINAL II;Evere;0,021191006;1338;28,35356655
21007A03-;FOYER FORESTOIS - FAMILLE;Forest;0,019932847;572;11,40158823
21007A252;MESSIDOR II;Forest;0,004636785;572;2,652241113
21007A201;ROOSENDAEL (RUE);Forest;0,046563272;572;26,63419141
21007A21-;MAGNANERIE;Forest;0,009362398;572;5,355291442
21007A291;FOREST NATIONAL - STADE;Forest;0,000124358;572;0,071132903
21007A242;GLOBE;Forest;0,010943524;572;6,2596955
21007A75-;TOURNOI (RUE DU);Forest;0,018014177;572;10,30410915
21007A814;VILLAS - MONT KEMMEL;Forest;0,003162252;572;1,808808115
21007A111;MESSIDOR I;Forest;0,010463856;572;5,98532573
21007A41-;PONT DE LUTTRE-OUEST;Forest;0,009095916;572;5,202863792
21007A142;MONTE CARLO;Forest;0,025955338;572;14,84645313
21007A53-;WIELEMANS CEUPPENS;Forest;0,049121498;572;28,09749685
21007A50-;BERANGER;Forest;0,055339409;572;31,65414202
21007A51-;CHATAIGNE;Forest;0,017161435;572;9,81634067
21007A552;REINE MARIE-HENRIETTE;Forest;0,004743378;572;2,713212173
21007A541;LYCEE;Forest;0,011067882;572;6,330828403
21007A61-;MONTENEGRO (RUE);Forest;0,093321963;572;53,38016309
21007A06-;KATANGA;Forest;0,012631242;572;7,225070618
21007A04-;FOYER FORESTOIS - MADELON;Forest;0,007443728;572;4,257812361
21007A00-;CENTRE SAINT-DENIS;Forest;0,059265576;572;33,8999094
21007A101;BOURGOGNE;Forest;0,050151895;572;28,68688376
21007A783;PARC DE FOREST;Forest;0,008776137;572;5,019950612
21007A373;CHARROI (RUE DE);Forest;0,000319778;572;0,18291318
21007A071;BOLLINCKX;Forest;0,02082112;572;11,9096804
21007A70-;ALTITUDE  CENT;Forest;0,057524561;572;32,90404875
21007A239;NEPTUNE (AVENUE) I;Forest;0,054913038;572;31,41025778
21007A05-;NEERSTALLE;Forest;0,017392386;572;9,948444634
21007A082;BEMPT;Forest;0,0009771;572;0,558901384
21007A01-;CURE D'ARS;Forest;0,022420011;572;12,8242463
21007A132;DENAYER (RUE);Forest;0,00289577;572;1,656380465
21007A52-;VAN VOLXEM - PETITE INDUSTRIE;Forest;0,019577537;572;11,19835137
21007A40-;PONT DE LUTTRE;Forest;0,03608165;572;20,63870383
21007A02-;STUART MERRIL;Forest;0,010623745;572;6,07678232
21007A12-;HAVESKERCKE;Forest;0,004494661;572;2,570946366
21007A60-;SAINT-ANTOINE;Forest;0,079607028;572;45,53522003
21007A73-;BERCKENDAEL (RUE);Forest;0,039332729;572;22,49832116
21007A72-;MOLIERE;Forest;0,080744017;572;46,185578
21007A71-;CHAUSSEE D'ALSEMBERG;Forest;0,024214323;572;13,85059248
21007A79-;PARC DUDEN;Forest;0,000159889;572;0,09145659
21008A31-;TOUSSAINT;Ganshoren;0,018592884;210;3,904505662
21008A30-;LE HOME;Ganshoren;0,051401494;210;10,79431371
21008A00-;CENTRE;Ganshoren;0,044655048;210;9,377560035
21008A38-;PARC DE RIVIEREN;Ganshoren;4,01574E-05;210;0,008433058
21008A27-;NESTOR MARTIN;Ganshoren;0;210;0
21008A220;VILLAS DE GANSHOREN (OUEST);Ganshoren;0,12111477;210;25,43410168
21008A02-;SIPPELBERG;Ganshoren;0,120753353;210;25,35820416
21008A34-;PARC ALBERT;Ganshoren;0,023492089;210;4,933338688
21008A35-;CHARTE;Ganshoren;0,013814151;210;2,900971809
21008A240;REFORME;Ganshoren;0,059111718;210;12,41346077
21008A23-;DE MESMAEKER;Ganshoren;0,012609429;210;2,647980082
21008A20-;CHARLES-QUINT;Ganshoren;0,167416272;210;35,15741707
21008A29-;RIVIERE MOLENBEEK;Ganshoren;0;210;0
21008A01-;VAN PAGE-SUD;Ganshoren;0,025299173;210;5,312826279
21008A33-;VAN PAGE-NORD;Ganshoren;0,047144808;210;9,900409606
21008A32-;HEIDEKEN;Ganshoren;0,064091238;210;13,45915991
21008A10-;PLATEAU;Ganshoren;0,129909244;210;27,28094129
21008A19-;BASILIQUE;Ganshoren;8,03148E-05;210;0,016866115
21008A21-;MAIL;Ganshoren;0,098747089;210;20,7368886
21009A20-;PETITE SUISSE (PLACE DE LA);Ixelles;0,03651181;664;24,2438418
21009A23-;ETOILE (ROND POINT DE L');Ixelles;0,026083153;664;17,31921359
