,Libellé de l'unité ,N°FASE de l'établissement référent,Nom de l'établissement référent,Nom court de l'établissement référent,URL du site web,Adresse de l'établissement,Code postal de l'établissement,Localité de l'établissement,Latitude de l'établissement,Longitude de l'établissement,geoloc_etablissement,N°FASE du campus,Nom du campus,Adresse du campus,Code postal du campus,Localité du campus,Arrondissement du campus,Latitude du campus,Longitude du campus,geoloc_campus,Bxl / hors Bxl,sector_stat
249,Promotion sociale supérieur,167,Enseignement de Promotion et de Formation continue EPFC 2,"E,P,F,C, 2","http://www,epfc,eu",Avenue de l'Astronomie 19,1210,SAINT-JOSSE-TEN-NOODE,"50,851505","4,3694937","50,851505, 4,3694937",516,,Avenue de l'Astronomie 19,1210,SAINT-JOSSE-TEN-NOODE,Bruxelles-Capitale,"50,851505","4,3694937","50,851505, 4,3694937",Brussels,21014A05-
250,Promotion sociale supérieur,168,Enseignement de Promotion et de Formation continue EPFC 7,"E,P,F,C, 7","http://www,epfc,eu",Avenue de l'Astronomie 19,1210,SAINT-JOSSE-TEN-NOODE,"50,851505","4,3694937","50,851505, 4,3694937",574,,Avenue de l'Astronomie 19,1210,SAINT-JOSSE-TEN-NOODE,Bruxelles-Capitale,"50,851505","4,3694937","50,851505, 4,3694937",Brussels,21014A05-
251,École supérieure des Arts,171,Institut national supérieur des Arts du Spectacle et des Techniques de Diffusion,INSAS,,Rue Thérésienne 8,1000,BRUXELLES,"50,8399152","4,3613157","50,8399152, 4,3613157",265,Thérésienne,Rue Thérésienne 8,1000,BRUXELLES,Bruxelles-Capitale,"50,8399152","4,3613157","50,8399152, 4,3613157",Brussels,21004A13-
252,École supérieure des Arts,181,École nationale supérieure des Arts visuels de La Cambre,La Cambre,"http://www,lacambre,be",Abbaye de la Cambre 21,1000,BRUXELLES,"50,8178008","4,3751015","50,8178008, 4,3751015",8100,Les 14 et 21,Abbaye de la Cambre 14,1000,BRUXELLES,Bruxelles-Capitale,"50,8185746","4,3741448","50,8185746, 4,3741448",Brussels,21004C54-
253,Promotion sociale supérieur,192,Enseignement de Promotion et de Formation continue EPFC 5,"E,P,F,C, 5","http://www,epfc,eu",Avenue de l'Astronomie 19,1210,SAINT-JOSSE-TEN-NOODE,"50,851505","4,3694937","50,851505, 4,3694937",562,,Avenue de l'Astronomie 19,1210,SAINT-JOSSE-TEN-NOODE,Bruxelles-Capitale,"50,851505","4,3694937","50,851505, 4,3694937",Brussels,21014A05-
254,Promotion sociale supérieur,292,Institut supérieur de Promotion Sociale Libre de Bruxelles Ilya Prigogine,"I,S,P,S,L,B, Ilya Prigogi","http://www,institut-prigogine,be",Route de Lennik 808,1070,ANDERLECHT,"50,8353229","4,3579406","50,8353229, 4,3579406",477,,"Route de Lennik 808 Bât, P",1070,ANDERLECHT,Bruxelles-Capitale,"50,8353229","4,3579406","50,8353229, 4,3579406",Brussels,21009A542
255,Promotion sociale supérieur,353,Centre d'Etudes supérieures d'Optométrie appliquée,C Et sup Optométrie appl,"http://www,cesoa,be",Rue D'Enhaive 158,5100,JAMBES,"50,4597078","4,8775873","50,4597078, 4,8775873",666,,Rue D'Enhaive 158,5100,JAMBES,Namur,"50,4597078","4,8775873","50,4597078, 4,8775873",Hors Brussels,
256,Promotion sociale supérieur,371,Ateliers Saint-Luc,Ateliers Saint-Luc,"http://www,stluc-bruxelles-eps,be",Rue d'Irlande 57,1060,SAINT-GILLES,"50,8259156","4,3520958","50,8259156, 4,3520958",704,,Rue d'Irlande 57,1060,SAINT-GILLES,Bruxelles-Capitale,"50,8259156","4,3520958","50,8259156, 4,3520958",Hors Brussels,21013A01-
257,École supérieure des Arts,518,École supérieure des Arts de l'Image LE 75,LE 75,"http://www,leseptantecinq,be/fr/",Avenue Jean-François Debecker 10,1200,WOLUWE-SAINT-LAMBERT,"50,8446166","4,4399664","50,8446166, 4,4399664",10536,Site Maison communale,Avenue Paul Hymans 2,1200,WOLUWE SAINT-LAMBERT,Bruxelles-Capitale,"50,8436515","4,4258076","50,8436515, 4,4258076",Brussels,21018A00-
258,Promotion sociale supérieur,521,"Centre de formation pour les secteurs infirmier et de la santé de l'A,C,N,",C from infirmier santé,"http://www,cpsi,be",Avenue Hippocrate 91,1200,WOLUWE-SAINT-LAMBERT,,,,946,,Avenue Hippocrate 91,1200,WOLUWE SAINT-LAMBERT,Bruxelles-Capitale,,,,Brussels,
259,Promotion sociale supérieur,547,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://promsocwsp,be/",Avenue Orban 73,1150,WOLUWE-SAINT-PIERRE,"50,8332572","4,4543928","50,8332572, 4,4543928",980,,Avenue Orban 73,1150,WOLUWE SAINT-PIERRE,Bruxelles-Capitale,"50,8332572","4,4543928","50,8332572, 4,4543928",Brussels,21019A42-
260,Promotion sociale supérieur,570,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,promotionsociale,be/",Avenue de Menden 21,1420,BRAINE-L'ALLEUD,"50,6836605","4,3713799","50,6836605, 4,3713799",1020,,Avenue de Menden 21,1420,BRAINE-L'ALLEUD,Nivelles,"50,6836605","4,3713799","50,6836605, 4,3713799",Hors Brussels,
261,Promotion sociale supérieur,979,Centre d'enseignement supérieur pour adultes,"Centre ens, sup, adultes","http://www,cesa,be",Rue de Courcelles 10,6044,ROUX,,,,10592,,Avenue Hippocrate 91,1200,WOLUWE SAINT-LAMBERT,Bruxelles-Capitale,"50,8516239","4,4608167","50,8516239, 4,4608167",Brussels,21018A87-
