SectorStatID,Quartier,Places Mat ss
21016A943,Altitude 100,73.0
21016A65-,Kalevoet - Moensberg,69.0
21016A601,Kalevoet - Moensberg,57.0
21016A620,Kriekenput - Homborch - Verrewinkel,80.0
21016A01-,Dieweg,129.0
21016A00-,Globe,175.0
21016A102,Observatoire,108.0
21016A12-,Observatoire,95.0
21016A44-,Dieweg,81.0
21016A214,Observatoire,21.0
21016A322,Fort Jaco,85.0
21016A400,Saint-Job Kauwberg,149.0
21016A429,Saint-Job Kauwberg,87.0
21016A410,Saint-Job Kauwberg,45.0
21016A490,Saint-Job Kauwberg,12.0
21016A639,Kriekenput - Homborch - Verrewinkel,224.0
21016A610,Kriekenput - Homborch - Verrewinkel,57.0
21016A521,Kriekenput - Homborch - Verrewinkel,29.0
21016A342,Vivier d'Oie,416.0
21016A311,Fort Jaco,136.0
21017A512,Watermael Centre,44.0
21017A541,Watermael Centre,29.0
21017A635,Trois Tilleuls,33.0
21017A11-,Trois Tilleuls,114.0
21017A240,Boitsfort Centre,34.0
21017A230,Boitsfort Centre,52.0
21017A220,Trois Tilleuls,37.0
21017A443,Dries,12.0
21017A41-,Boondael,69.0
21017A523,Watermael Centre,49.0
21017A624,Watermael Centre,31.0
21017A534,Watermael Centre,15.0
21017A501,Watermael Centre,12.0
21017A432,Dries,20.0
21017A021,Boitsfort Centre,9.0
21017A01-,Boitsfort Centre,57.0
21017A12-,Trois Tilleuls,118.0
21017A13-,Watermael Centre,49.0
21017A212,Watermael Centre,46.0
21017A000,Boitsfort Centre,44.0
21017A451,Dries,24.0
21017A041,Boitsfort Centre,39.0
21018A20-,Georges Henri,169.0
21018A72-,Porte Tervueren,271.0
21018A21-,Georges Henri,128.0
21018A35-,Val d'Or,39.0
21018A34-,Val d'Or,47.0
21018A32-,Val d'Or,17.0
21018A311,Val d'Or,83.0
21018A33-,Val d'Or,72.0
21018A22-,Gribaumont,0.0
21018A512,Gribaumont,0.0
21018A031,Gribaumont,0.0
21018A04-,Roodebeek - Constellations,105.0
21018A02-,Gribaumont,0.0
21018A37-,Val d'Or,13.0
21018A63-,Roodebeek - Constellations,94.0
21018A05-,Roodebeek - Constellations,61.0
21018A61-,Georges Henri,101.0
21018A62-,Georges Henri,161.0
21018A24-,Georges Henri,85.0
21018A09-,Gribaumont,0.0
21018A30-,Roodebeek - Constellations,62.0
21018A643,Roodebeek - Constellations,80.0
21018A60-,Roodebeek - Constellations,22.0
21018A81-,Kapelleveld,56.0
21018A84-,Kapelleveld,82.0
21018A00-,Roodebeek - Constellations,84.0
21018A43-,Roodebeek - Constellations,61.0
21018A41-,Roodebeek - Constellations,66.0
21018A42-,Roodebeek - Constellations,62.0
21018A01-,Boulevard de la Woluwe,66.0
21018A15-,Boulevard de la Woluwe,20.0
21018A14-,Boulevard de la Woluwe,83.0
21018A13-,Boulevard de la Woluwe,48.0
21018A12-,Stockel,165.0
21018A82-,Kapelleveld,49.0
21018A83-,Kapelleveld,105.0
21018A87-,Kapelleveld,59.0
21018A3MJ,Val d'Or,159.0
21019A231,Boulevard de la Woluwe,72.0
21019A242,Saint-Paul,41.0
21019A252,Saint-Paul,46.0
21019A131,Stockel,224.0
21019A12-,Stockel,46.0
21019A45-,Saint-Paul,41.0
21019A52-,Gribaumont,0.0
21019A51-,Saint-Michel,213.0
21019A04-,Gribaumont,0.0
21019A03-,Gribaumont,0.0
21019A02-,Gribaumont,0.0
21019A052,Gribaumont,0.0
21019A001,Boulevard de la Woluwe,120.0
21019A34-,Chant d'Oiseau,75.0
21019A30-,Chant d'Oiseau,64.0
21019A33-,Chant d'Oiseau,111.0
21019A01-,Boulevard de la Woluwe,59.0
21019A11-,Stockel,109.0
21019A31-,Chant d'Oiseau,68.0
21019A32-,Chant d'Oiseau,192.0
21019A35-,Chant d'Oiseau,68.0
21019A20-,Saint-Paul,62.0
21019A14-,Stockel,191.0
21019A10-,Stockel,277.0
21019A21-,Saint-Paul,75.0
21019A40-,Sainte-Alix - Joli Bois,0.0
21019A15-,Kapelleveld,203.0
21019A42-,Saint-Paul,54.0
21019A22-,Putdael,0.0
21019A441,Saint-Paul,11.0
21019A41-,Sainte-Alix - Joli Bois,0.0
21019A43-,Sainte-Alix - Joli Bois,0.0
21001C6PB,Neerpede,98.0
