,SectorStatID,Nb d'enfants inscrits en maternelles habitant le ss
525,21018A09-,8
526,21018A30-,45
527,21018A643,58
528,21018A60-,16
529,21018A81-,17
530,21018A84-,25
531,21018A00-,61
532,21018A43-,44
533,21018A41-,48
534,21018A42-,45
535,21018A01-,36
536,21018A15-,11
537,21018A14-,45
538,21018A13-,26
539,21018A12-,50
540,21018A82-,15
541,21018A83-,32
542,21018A87-,18
543,21018A3MJ,149
544,21019A231,39
545,21019A242,30
546,21019A252,33
547,21019A131,68
548,21019A12-,14
549,21019A45-,30
550,21019A52-,43
551,21019A51-,62
552,21019A04-,42
553,21019A03-,46
554,21019A02-,13
555,21019A052,31
556,21019A001,65
557,21019A34-,46
558,21019A30-,39
559,21019A33-,68
560,21019A01-,32
561,21019A11-,33
562,21019A31-,42
563,21019A32-,118
564,21019A35-,42
565,21019A20-,45
566,21019A14-,58
567,21019A10-,84
568,21019A21-,54
569,21019A40-,114
570,21019A15-,62
571,21019A42-,39
572,21019A22-,13
573,21019A441,8
574,21019A41-,35
575,21019A43-,15
576,21001C6PB,15
