Code;Territoire;Commune;#5 ans en primaire garçon;#5 ans en primaire filles;#6 ans en maternelles garçon;#6 ans en maternelles filles;#11 ans en secondaires garçon;#11 ans en secondaires filles;#12 ans en primaires garçon;#12 ans en primaires filles;#13 ans en primaires garçon;#13 ans en primaires filles;#17 ans a l'unif garçon;#17 ans a l'unif filles;#18 ans en secondaires garçon;#18 ans en secondaires filles;#19 ans en secondaires garçon;#19 ans en secondaires filles
21017A12-;LE LOGIS-NORD;Watermael-Boitsfort;0,155559372;0,16816839;0,919214474;0,932570162;0,226268178;0,290472674;0,919214474;0,932570162;0;0;0,226268178;0,290472674;2,715218138;2,38493353;1,555593725;1,972156573
21017A08-;SOUVERAIN-EST;Watermael-Boitsfort;0,013540593;0,013404727;0,080012596;0,074335303;0,019695408;0,023153619;0,080012596;0,074335303;0;0;0,019695408;0,023153619;0,236344899;0,190103397;0,135405932;0,157200886
21017A13-;BOULEAUX;Watermael-Boitsfort;0,092264972;0,079615953;0,545202107;0,441506647;0,134203596;0,137518464;0,545202107;0,441506647;0;0;0,134203596;0,137518464;1,610443147;1,129098966;0,922649719;0,933677991
21017A212;AVENUE DE LA TENDERIE;Watermael-Boitsfort;0,130052674;0,126193993;0,768493072;0,699803053;0,189167525;0,217971443;0,768493072;0,699803053;0;0;0,189167525;0,217971443;2,270010306;1,789660266;1,300526738;1,479911374
21017A000;CENTRE DE BOITSFORT;Watermael-Boitsfort;0,080456315;0,081782373;0,47542368;0,453520433;0,117027367;0,141260463;0,47542368;0,453520433;0;0;0,117027367;0,141260463;1,404328409;1,159822747;0,804563151;0,959084195
21017A09-;FORET DE SOIGNES;Watermael-Boitsfort;0,000787244;0,000541605;0,004651895;0,003003447;0,001145082;0,0009355;0,004651895;0,003003447;0;0;0,001145082;0,0009355;0,013740982;0,007680945;0,007872438;0,006351551
21017A451;FUTAIE;Watermael-Boitsfort;0,096673537;0,098301329;0,57125272;0,545125554;0,140616054;0,169793205;0,57125272;0,545125554;0;0;0,140616054;0,169793205;1,687392649;1,394091581;0,966735372;1,152806499
21017A472;ZONING DE BUREAUX-NORD;Watermael-Boitsfort;0,001417039;0,001354013;0,008373411;0,007508616;0,002061147;0,002338749;0,008373411;0,007508616;0;0;0,002061147;0,002338749;0,024733768;0,019202363;0,014170388;0,015878877
21017A374;ZONING DE BUREAUX-SUD;Watermael-Boitsfort;0,021255582;0,01800837;0,125601168;0,099864599;0,030917211;0,031105367;0,125601168;0,099864599;0;0;0,030917211;0,031105367;0,371006527;0,255391433;0,212555823;0,211189069
21017A041;DREVE DU DUC;Watermael-Boitsfort;0,065656132;0,060930576;0,387968052;0,33788774;0,095499828;0,105243722;0,387968052;0,33788774;0;0;0,095499828;0,105243722;1,145997939;0,864106352;0,656561319;0,714549483
21017A031;AVENUE DELLEUR;Watermael-Boitsfort;0,010234169;0,009748892;0,060474636;0,054062038;0,014886064;0,016838996;0,060474636;0,054062038;0;0;0,014886064;0,016838996;0,178632772;0,138257016;0,102341692;0,114327917
21017A312;CLOS DES CHENES;Watermael-Boitsfort;0,012123554;0,013404727;0,071639185;0,074335303;0,017634261;0,023153619;0,071639185;0,074335303;0;0;0,017634261;0,023153619;0,21161113;0,190103397;0,121235543;0,157200886
