Code;Territoire;single dad;;Faire une loi normale centrée en 43 allant de 16 à 70
21011A11-;LEPREUX;21;;
21011A30-;ARCHERS - FOUREZ;16;;
21011A20-;PLATEAU;20;;
21011A10-;PAIX (AVENUE DE LA);15;;
21011A01-;SAINTE-ANNE;14;;
21011A02-;JACQUET (RUE DE);16;;
21011A00-;VANHUFFEL;10;;
21011A12-;BASILIQUE;9;;
21011A29-;PARC ELISABETH;0;;
21012A552;PFEIFFER;8;;
21012A833;ELBERS;0;;
21012A84-;METTEWIE-BUILDINGS;16;;
21012A24-;OSSEGHEM;17;;
21012A26-;MACHTENS-NORD;23;;
21012A29-;MARIE-JOSE (PARC);0;;
21012A25-;BEEKKANT;0;;
21012A172;GARE OUEST;15;;
21012A041;QUATRE VENTS;18;;
21012A10-;DUCHESSE DE BRABANT;16;;
21012A00-;CENTRE;21;;
21012A05-;SAINT-JOSEPH;10;;
21012A59-;KARREVELD;0;;
21012A851;CONDOR;6;;
21012A882;DARING;0;;
21012A22-;BRASILIA;0;;
21012A13-;BIRMINGHAM-NORD;11;;
21012A12-;BIRMINGHAM-SUD;10;;
21012A672;ULENS;17;;
21012A60-;LAEKENVELD;38;;
21012A63-;DUBRUCQ-NORD;21;;
21012A62-;LIBERATEURS;39;;
21012A511;STEYNS;26;;
21012A20-;BAECK;17;;
21012A72-;LAVALLEE;26;;
21012A611;MEXICO;10;;
21012A53-;SIPPELBERG;0;;
21012A54-;DELHAIZE;20;;
21012A50-;BENES;24;;
21012A71-;PIERS;30;;
21012A21-;MARIE-JOSE BLOCS;10;;
21012A2MJ;CHEMIN DE FER;0;;
21012A152;ETANGS NOIRS;39;;
21012A52-;NEEP (QUARTIER DU);23;;
21012A39-;DE RAEDT;0;;
21012A30-;METTEWIE - IDYLLE;17;;
21012A23-;MACHTENS-SUD;18;;
21012A41-;MOORTEBEEK;12;;
21012A822;KORENBEEK;31;;
21012A811;MYRTES-NORD;0;;
21012A141;INDEPENDANCE;13;;
21012A03-;RANSFORT;23;;
21012A11-;INDUSTRIE;11;;
21012A02-;BRUNFAUT (QUARTIER);0;;
21012A011;CANAL-SUD;4;;
21012A732;CANAL-NORD;14;;
21013A242;BETHLEEM (PLACE DE);16;;
21013A102;PARVIS;0;;
21013A101;PARVIS;25;;
21013A13-;DETHY (RUE);14;;
21013A121;GUILLAUME TELL-SUD;0;;
21013A422;CRICKX (RUE);29;;
21013A11-;PARME (RUE DE);16;;
21013A01-;ESPAGNE (RUE D');22;;
21013A04-;PRISON;17;;
21013A623;FRANCE (RUE DE);0;;
21013A201;ANGLETERRE (RUE D');23;;
21013A252;DANEMARK (RUE DE);23;;
21013A23-;ROI (AVENUE DU);7;;
21013A02-;CAPOUILLET (RUE);16;;
21013A2MJ;GARE DU MIDI;0;;
21013A612;JAMAR;0;;
21013A22-;REGIES;29;;
21013A211;FONTAINAS;22;;
21013A052;FAIDER (RUE);7;;
21013A151;METAL (RUE DU);10;;
21013A522;RUE D'ECOSSE;11;;
21013A40-;BARRIERE;21;;
21013A41-;VILLAS (AVENUE DES);22;;
21013A031;AMAZONE (RUE DE);9;;
21013A00-;HOTEL DE VILLE;24;;
21013A51-;TOISON D'OR (AVENUE);11;;
21014A00-;PLACE SAINT-JOSSE;34;;
21014A02-;CHARITE;15;;
21014A14-;PRAIRIE;17;;
21014A2MJ;NORD;0;;
21014A41-;BOSSUET;39;;
21014A10-;SAINT-FRANCOIS;21;;
21014A13-;ROGIER;0;;
21014A03-;MADOU;7;;
21014A12-;SAINT-LAZARE;0;;
21014A01-;STEURS;6;;
21014A04-;HAECHT (CHAUSSEE DE);26;;
21014A05-;HOUWAERT;67;;
21014A18-;JARDIN BOTANIQUE;0;;
21014A3MJ;MANHATTAN;0;;
21015A50-;OPALE;34;;
21015A77-;R.T.B.;7,000000001;;
21015A73-;H. EVENEPOEL (RUE);6;;
21015A782;CIMETIERE DE SAINT-JOSSE;0;;
21015A31-;PATRIE;16;;
21015A36-;CAMBIER (AVENUE E.);7;;
21015A70-;P. HYMANS (RUE);15;;
21015A721;F. COURTENS (AVENUE);0;;
21015A822;CH. GILISQUET - SUD (AVENUE);0;;
21015A7MJ;JOSAPHAT GARE;0;;
21015A34-;PAQUERETTES (RUE);19;;
21015A63-;DESCHANEL P. (AVENUE);8;;
21015A883;THEUNIS PIERRE (RUE);0;;
21015A811;TERDELT;15;;
21015A831;LATINIS (AVENUE G.);23;;
21015A03-;JOSAPHAT (RUE);30;;
21015A021;HOUFFALIZE (PLACE);34;;
21015A30-;GRANDE RUE AU BOIS;25;;
21015A32-;CONSOLATION (RUE DE LA);17;;
21015A64-;DUPLOYE SQUARE;21;;
21015A33-;BIENFAITEURS (PLACE DE);14;;
21015A35-;JEAN STOBBAERTS (AVENUE);19;;
21015A53-;DAILLY (PLACE);15;;
21015A54-;EMERAUDE (AVENUE);38;;
21015A52-;LINTHOUT (RUE);24;;
21015A51-;CERISIERS (AVENUE DES);13;;
21015A05-;ROYALE SAINTE-MARIE (RUE);30;;
21015A12-;HUART HAMOIR (AVENUE);19;;
21015A152;PR. ELISABETH-NORD;18;;
21015A101;GARE;27;;
21015A111;MAETERLINCK;22;;
21015A142;SAINTE-FAMILLE;0;;
21015A622;BRUSILIA;0;;
21015A71-;JARDINS;8;;
21015A04-;L'OLIVIER (RUE);43;;
21015A39-;JOSAPHAT (PARC);0;;
21015A421;PALAIS (RUE DE);8;;
21015A40-;BRABANT (RUE DE);31;;
21015A43-;GARE DU NORD;15;;
21015A44-;REINE (AVENUE);28;;
21015A41-;VANDERLINDEN (RUE);32;;
21015A612;BRICHAUT (RUE DE);38;;
21015A45-;STEPHENSON (PLACE);8;;
21015A00-;COLIGNON (PLACE);56;;
21015A01-;VAN YSENDYCK (RUE);7;;
21015A24-;WAELHEM (RUE);19;;
21015A13-;PORTAELS (RUE);15;;
21015A22-;MARBOTIN A. (RUE);28;;
21015A272;HOPITAL P. BRIEN;0;;
21015A231;J. BLOCKX (RUE);11;;
21015A20-;HELMET;47;;
21015A21-;GUIDO GEZELLE (RUE);23;;
21016A901;CENTRE-OUEST;16;;
21016A81-;BASCULE;28;;
21016A82-;CHURCHILL;43;;
21016A232;BEAU SEJOUR;5;;
21016A831;LONGCHAMP;27;;
21016A111;VERT CHASSEUR;0;;
21016A841;ZEECRABBE;0;;
21016A85-;BRUGMANN;5;;
21016A042;ECHEVINAGE;0;;
21016A03-;COGHEN;22;;
21016A02-;ALSEMBERG-NORD;26;;
21016A922;WOLVENBERG;11;;
21016A912;GLOBE-OUEST;8;;
21016A933;VOSSEGAT-OUEST;19;;
21016A731;ROETAERT;0;;
21016A701;MERLO;37;;
21016A772;ZWARTEBEEK;0;;
21016A72-;MELKRIEK;0;;
21016A71-;KEIENBEMPT;13;;
21016A13-;OBSERVATOIRE;0;;
21016A383;FORET DE SOIGNES LORRAINE-W.;0;;
21016A954;VOSSEGAT-EST;0;;
21016A331;CHAUSSEE DE WATERLOO-OUEST;0;;
21016A80-;VANDERKINDERE;18;;
