Code;Territoire;Commune;Peripherie
21019A35-;HORIZON (AVENUE);Woluwe Saint-Pierre;No
21005A00-;HOTEL COMMUNAL;Etterbeek;No
21013A00-;HOTEL DE VILLE;Saint-Gilles;No
21015A021;HOUFFALIZE (PLACE);Schaerbeek;No
21014A05-;HOUWAERT;Saint-Josse-ten-Noode;No
21015A12-;HUART HAMOIR (AVENUE);Schaerbeek;No
21003A0AJ;HUNDERENVELD;Berchem Sainte-Agathe;Périphérie
21006A02-;IEDER ZIJN HUIS - STROOBANTS;Evere;No
21006A24-;IEDER ZIJN HUIS - ZAVENTEM;Evere;No
21012A141;INDEPENDANCE;Molenbeek Saint-Jean;No
21012A11-;INDUSTRIE;Molenbeek Saint-Jean;No
21002A511;INVALIDES (BOULEVARD DES);Auderghem;No
21015A231;J. BLOCKX (RUE);Schaerbeek;No
21006A312;J. BORDET (AVENUE DE);Evere;No
21004A15-;JACOBS (PLACE);Bruxelles;No
21011A02-;JACQUET (RUE DE);Koekelberg;No
21001A92-;JAKOB SMITS;Anderlecht;No
21013A612;JAMAR;Saint-Gilles;No
21014A18-;JARDIN BOTANIQUE;Saint-Josse-ten-Noode;No
21015A71-;JARDINS;Schaerbeek;No
21015A35-;JEAN STOBBAERTS (AVENUE);Schaerbeek;No
21015A39-;JOSAPHAT (PARC);Schaerbeek;No
21015A03-;JOSAPHAT (RUE);Schaerbeek;No
21015A7MJ;JOSAPHAT GARE;Schaerbeek;No
21019A15-;KAPELLEVELD;Woluwe Saint-Pierre;Périphérie
21018A84-;KAPELLEVELD-NORD-EST;Woluwe Saint-Lambert;No
21018A81-;KAPELLEVELD-SUD;Woluwe Saint-Lambert;No
21012A59-;KARREVELD;Molenbeek Saint-Jean;No
21001A42-;KAT;Anderlecht;No
21007A06-;KATANGA;Forest;No
21016A490;KAUWBERG;Uccle;No
21006A153;KEET;Evere;No
21016A71-;KEIENBEMPT;Uccle;Périphérie
21019A231;KELLE;Woluwe Saint-Pierre;No
21006A042;KERKHOEK;Evere;No
21018A83-;KLAKKEDELLE;Woluwe Saint-Lambert;No
21009A623;KLAUWAERTS;Ixelles;No
21001A011;KLEINMOLEN;Anderlecht;No
21003A38-;KONINCKXBOS;Berchem Sainte-Agathe;Périphérie
21019A131;KONKEL;Woluwe Saint-Pierre;No
21012A822;KORENBEEK;Molenbeek Saint-Jean;No
21016A620;KRIEKENPUT;Uccle;No
21003A04-;L. DE SMET;Berchem Sainte-Agathe;No
21009A83-;L. ERNOTTE (RUE);Ixelles;No
21005A13-;LA CHASSE;Etterbeek;No
21012A60-;LAEKENVELD;Molenbeek Saint-Jean;No
21010A493;LAERBEEK (BOIS DE);Jette;Périphérie
21018A24-;LAMBEAU (AVENUE);Woluwe Saint-Lambert;No
21002A030;LAMMERENDRIES;Auderghem;No
21015A831;LATINIS (AVENUE G.);Schaerbeek;No
21003A02-;LAURE - BASILIQUE;Berchem Sainte-Agathe;No
21012A72-;LAVALLEE;Molenbeek Saint-Jean;No
21016A05-;LE CHAT;Uccle;No
21008A30-;LE HOME;Ganshoren;No
21017A12-;LE LOGIS-NORD;Watermael-Boitsfort;No
21017A220;LE LOGIS-SUD;Watermael-Boitsfort;No
21002A21-;LEBON;Auderghem;No
21004B293;LEOPOLD (PARC);Bruxelles;No
21010A02-;LEOPOLD I;Jette;No
21011A11-;LEPREUX;Koekelberg;No
21018A15-;LES SOURCES;Woluwe Saint-Lambert;No
21012A62-;LIBERATEURS;Molenbeek Saint-Jean;No
21004A33-;LIBERTE (PLACE DE LA);Bruxelles;No
21009A612;LIEGEOIS (RUE);Ixelles;No
21001A051;LINDE-EST;Anderlecht;No
21001A152;LINDE-OUEST;Anderlecht;No
21015A52-;LINTHOUT (RUE);Schaerbeek;No
21015A04-;L'OLIVIER (RUE);Schaerbeek;No
21009A53-;LONDRES (PLACE DE);Ixelles;No
21016A831;LONGCHAMP;Uccle;No
21004C501;LOUISE (AVENUE)-NORD;Bruxelles;No
21004C51-;LOUISE (AVENUE)-NORD-EST;Bruxelles;No
21004C52-;LOUISE (AVENUE)-NORD-OUEST;Bruxelles;No
21004C552;LOUISE (AVENUE)-SUD;Bruxelles;No
21004C54-;LOUISE (AVENUE)-SUD-EST;Bruxelles;No
21004C53-;LOUISE (AVENUE)-SUD-OUEST;Bruxelles;No
21017A541;LOUTRIER - WIENER;Watermael-Boitsfort;No
21009A501;LUXEMBOURG (PLACE DE);Ixelles;No
21007A541;LYCEE;Forest;No
21009A63-;MACAU;Ixelles;No
21012A26-;MACHTENS-NORD;Molenbeek Saint-Jean;No
21012A23-;MACHTENS-SUD;Molenbeek Saint-Jean;No
21010A21-;MADELEINE;Jette;No
21014A03-;MADOU;Saint-Josse-ten-Noode;No
21005A031;MAELBEEK;Etterbeek;No
21015A111;MAETERLINCK;Schaerbeek;No
21007A21-;MAGNANERIE;Forest;No
21008A21-;MAIL;Ganshoren;No
21006A13-;MAISON COMMUNALE;Evere;No
21004E72-;MAISON ROUGE (PLACE)-SUD;Bruxelles;No
21014A3MJ;MANHATTAN;Saint-Josse-ten-Noode;No
21019A21-;MANOIR;Woluwe Saint-Pierre;No
21015A22-;MARBOTIN A. (RUE);Schaerbeek;No
21004A24-;MARCHE AU PORCS;Bruxelles;No
21018A82-;MARIE LA MISERABLE;Woluwe Saint-Lambert;No
21004E70-;MARIE-CHRISTINE (RUE);Bruxelles;No
21012A29-;MARIE-JOSE (PARC);Molenbeek Saint-Jean;No
21012A21-;MARIE-JOSE BLOCS;Molenbeek Saint-Jean;No
21004B421;MARIE-LOUISE (SQUARE);Bruxelles;No
21004F970;MARLY-NORD;Bruxelles;Périphérie
21004F572;MARLY-SUD;Bruxelles;No
21017A523;MARTIN-PECHEUR;Watermael-Boitsfort;No
21004D64-;MASUI (PLACE)-NORD;Bruxelles;No
21001C5PA;MEERVELD;Anderlecht;Périphérie
21009A40-;MELEZES;Ixelles;No
21016A72-;MELKRIEK;Uccle;Périphérie
21016A701;MERLO;Uccle;No
21007A111;MESSIDOR I;Forest;No
21007A252;MESSIDOR II;Forest;No
21013A151;METAL (RUE DU);Saint-Gilles;No
21012A30-;METTEWIE - IDYLLE;Molenbeek Saint-Jean;No
21012A84-;METTEWIE-BUILDINGS;Molenbeek Saint-Jean;No
21012A611;MEXICO;Molenbeek Saint-Jean;No
21001C5MA;MEYLEMEERSCH;Anderlecht;Périphérie
21001C6MB;MEYLEMEERSCH-EST;Anderlecht;No
21019A11-;MILLE METRES (AVENUE);Woluwe Saint-Pierre;Périphérie
21019A33-;MIMOSAS (AVENUE);Woluwe Saint-Pierre;No
21001A120;MINIMES;Anderlecht;No
21010A03-;MIROIR;Jette;No
21016A533;MOENSBERG;Uccle;Périphérie
21003A011;MOLENBERG;Berchem Sainte-Agathe;No
21016A64-;MOLENSTEEN;Uccle;Périphérie
21007A72-;MOLIERE;Forest;No
21004A34-;MONNAIE;Bruxelles;No
21003A41-;MONNET;Berchem Sainte-Agathe;No
21007A142;MONTE CARLO;Forest;No
21007A61-;MONTENEGRO (RUE);Forest;No
21019A252;MONTGOLFIER;Woluwe Saint-Pierre;No
21001A82-;MOORTEBEEK;Anderlecht;Périphérie
21012A41-;MOORTEBEEK;Molenbeek Saint-Jean;Périphérie
21009A02-;MUSEE;Ixelles;No
21004E222;MUTSAARD (AVENUE);Bruxelles;No
21012A811;MYRTES-NORD;Molenbeek Saint-Jean;No
21004E193;N.D. DE LAEKEN;Bruxelles;No
21004C63-;NATIONS (SQUARE DES);Bruxelles;No
21004F9MJ;NEDER-HEEMBEEK-NORD;Bruxelles;Périphérie
21012A52-;NEEP (QUARTIER DU);Molenbeek Saint-Jean;No
21007A05-;NEERSTALLE;Forest;No
21018A33-;NEERVELD;Woluwe Saint-Lambert;Périphérie
21001A53-;NELLIE MELBA;Anderlecht;No
21007A239;NEPTUNE (AVENUE) I;Forest;No
21008A27-;NESTOR MARTIN;Ganshoren;No
21014A2MJ;NORD;Saint-Josse-ten-Noode;No
21004A04-;NOTRE-DAME DE LA CHAPELLE;Bruxelles;No
21010A04-;NOTRE-DAME DE LOURDES;Jette;No
21005A11-;NOTRE-DAME DU SACRE-COEUR;Etterbeek;No
21004A23-;NOUVEAU MARCHE AU GRAIN;Bruxelles;No
21005A322;NOUVELLE AVENUE-SUD;Etterbeek;No
21006A11-;OASIS - PROVENCE - LANGUEDOC;Evere;No
21016A13-;OBSERVATOIRE;Uccle;No
21015A50-;OPALE;Schaerbeek;No
21004B10-;ORBAN (SQUARE);Bruxelles;No
21001A72-;OSSEGEM;Anderlecht;No
21012A24-;OSSEGHEM;Molenbeek Saint-Jean;No
21006A414;P. DUPONT (RUE);Evere;No
21015A70-;P. HYMANS (RUE);Schaerbeek;No
21011A10-;PAIX (AVENUE DE LA);Koekelberg;No
21015A421;PALAIS (RUE DE);Schaerbeek;No
21004A16-;PALAIS JUSTICE-HOP. ST.-PIERRE;Bruxelles;No
21004A19-;PALAIS ROYAL;Bruxelles;No
21015A34-;PAQUERETTES (RUE);Schaerbeek;No
21008A34-;PARC ALBERT;Ganshoren;No
21007A783;PARC DE FOREST;Forest;No
21010A092;PARC DE LA JEUNESSE;Jette;No
