SectorStatID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
21001B17-,11,11,11,11,11,8,8,8,8,8,8,8,8,8,8,6,6,6,7,7,7,7,7,7,7,6,6,6,6,6,10,11,9,9,9,11,11,11,11,11,11,11,11,11,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,5,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
21001A712,7,7,7,7,7,8,8,8,8,8,6,6,6,6,6,8,8,8,8,9,9,8,8,7,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A07-,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001B21-,39,39,39,39,39,31,31,31,31,31,23,23,23,23,23,24,24,24,24,31,31,33,33,30,29,33,31,33,31,31,37,37,37,37,37,33,33,33,33,33,29,29,29,29,29,31,31,31,31,31,25,25,25,25,25,21,21,21,21,21,21,21,21,14,14,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
21001A911,22,22,22,22,22,16,16,16,16,16,13,13,13,13,13,14,14,14,15,16,16,19,19,19,19,17,17,17,17,18,18,19,18,18,18,18,18,18,18,18,20,20,20,20,20,16,16,16,16,16,14,14,14,14,14,12,12,12,12,12,11,11,11,8,8,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1
21001A931,18,18,18,18,18,17,17,17,17,17,12,12,12,12,12,14,14,14,15,15,15,12,12,12,12,14,13,13,13,13,18,16,16,16,16,17,17,17,17,17,20,20,20,20,20,16,16,16,16,16,11,11,11,11,11,9,9,9,9,9,9,9,9,8,8,5,5,5,5,5,4,4,4,4,4,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0
21001A74-,25,25,25,25,25,24,24,24,24,24,23,23,23,23,23,15,15,15,17,17,17,20,20,18,18,18,19,18,20,18,19,18,20,18,18,17,20,17,17,17,22,22,22,22,22,20,20,20,20,20,18,18,18,18,18,13,13,13,13,13,13,13,13,11,11,9,9,9,9,9,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,1,1,1,1,1
21001A92-,32,32,32,32,32,26,26,26,26,26,26,26,26,26,26,22,22,22,25,25,25,25,25,25,25,30,30,30,30,30,30,30,27,25,25,29,29,29,29,29,34,34,34,34,34,27,27,27,27,27,21,21,21,21,21,20,20,20,20,20,17,17,17,13,13,12,12,12,12,12,9,9,9,9,9,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1
21001A00-,23,23,23,23,23,19,19,19,19,19,21,21,21,21,21,23,23,23,23,28,28,27,27,22,24,26,26,26,26,26,21,21,22,22,21,21,21,21,21,21,23,23,23,23,23,25,25,25,25,25,19,19,19,19,19,15,15,15,15,15,16,16,16,16,16,11,11,11,11,11,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1
21001A08-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A95-,28,28,28,28,28,25,25,25,25,25,25,25,25,25,25,22,22,22,24,24,24,20,20,20,20,25,25,25,23,23,21,23,23,24,21,22,24,21,21,22,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,19,19,19,19,19,17,17,17,17,17,13,13,13,13,13,9,9,9,9,9,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,1,1,1,1,1
