SectorStatID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
21001A941,20,20,20,20,20,20,20,20,20,20,16,16,16,16,16,11,36,33,37,35,20,18,21,20,20,22,22,22,22,22,21,25,21,21,21,19,19,20,19,19,18,17,16,16,16,17,16,16,16,16,14,15,14,14,14,14,14,14,14,14,9,9,9,9,9,8,8,8,8,8,6,6,6,6,6,8,8,8,8,8,5,5,5,5,5,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3
21001A732,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,6,3,4,3,3,3,3,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
21001A982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A90-,16,16,16,16,16,13,13,13,13,13,12,12,12,12,12,10,25,24,23,24,17,19,17,17,16,18,18,17,17,17,19,21,17,18,15,18,16,18,15,16,17,17,17,17,17,15,15,15,15,15,14,13,13,13,13,13,13,13,13,13,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4
21001A783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A132,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,4,13,16,16,15,7,13,13,8,10,11,11,11,11,11,9,9,8,10,12,8,8,8,8,8,7,7,7,7,7,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21001B31-,5,5,5,5,5,7,7,7,7,7,11,11,11,11,11,7,12,8,10,8,7,6,6,6,6,5,4,5,4,5,5,6,7,6,6,7,7,7,7,7,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
21001B25-,36,36,36,36,36,32,32,32,32,32,27,27,27,27,27,22,52,46,47,46,36,36,31,33,31,34,31,29,28,28,33,33,33,33,33,30,30,30,30,30,29,29,29,29,29,26,24,24,25,25,22,22,22,22,22,18,18,18,18,18,13,13,13,13,13,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
21001B11-,7,7,7,7,7,8,8,8,8,8,7,7,7,7,7,5,7,6,8,7,6,6,6,6,8,6,6,6,6,6,5,5,5,5,5,5,7,5,5,5,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
21001A72-,31,31,31,31,31,31,31,31,31,31,21,21,21,21,21,17,48,54,52,48,20,28,22,22,18,23,24,23,23,23,29,27,29,27,29,23,23,26,23,24,23,24,23,23,23,22,21,21,22,21,18,19,18,18,18,19,19,19,19,19,16,16,16,16,16,14,14,14,14,14,11,11,11,11,11,8,8,8,8,8,8,8,8,8,8,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3
